service_id,date,exception_type
1,20170818,1
1,20170819,1
1,20170825,1
1,20170826,1
2,20170902,1
2,20170903,1
2,20170908,1
2,20170909,1
2,20170915,1
2,20170916,1
2,20170922,1
2,20170923,1
2,20170929,1
2,20170930,1
2,20171006,1
2,20171007,1
2,20171013,1
2,20171014,1
2,20171020,1
2,20171021,1
2,20171027,1
2,20171028,1
2,20171103,1
2,20171104,1
2,20171110,1
2,20171111,1
2,20171117,1
3,20170819,1
3,20170820,1
3,20170826,1
3,20170827,1
4,20170902,1
4,20170903,1
4,20170904,1
4,20170909,1
4,20170910,1
4,20170916,1
4,20170917,1
4,20170923,1
4,20170924,1
4,20170930,1
4,20171001,1
4,20171007,1
4,20171008,1
4,20171014,1
4,20171015,1
4,20171021,1
4,20171022,1
4,20171028,1
4,20171029,1
4,20171104,1
4,20171105,1
4,20171111,1
4,20171112,1
4,20171118,1
5,20170817,1
5,20170820,1
5,20170821,1
5,20170822,1
5,20170823,1
5,20170824,1
5,20170827,1
5,20170828,1
5,20170829,1
5,20170830,1
5,20170831,1
6,20170904,1
6,20170905,1
6,20170906,1
6,20170907,1
6,20170910,1
6,20170911,1
6,20170912,1
6,20170913,1
6,20170914,1
6,20170917,1
6,20170918,1
6,20170919,1
6,20170920,1
6,20170921,1
6,20170924,1
6,20170925,1
6,20170926,1
6,20170927,1
6,20170928,1
6,20171001,1
6,20171002,1
6,20171003,1
6,20171004,1
6,20171005,1
6,20171008,1
6,20171009,1
6,20171010,1
6,20171011,1
6,20171012,1
6,20171015,1
6,20171016,1
6,20171017,1
6,20171018,1
6,20171019,1
6,20171022,1
6,20171023,1
6,20171024,1
6,20171025,1
6,20171026,1
6,20171029,1
6,20171030,1
6,20171031,1
6,20171101,1
6,20171102,1
6,20171105,1
6,20171106,1
6,20171107,1
6,20171108,1
6,20171109,1
6,20171112,1
6,20171113,1
6,20171114,1
6,20171115,1
6,20171116,1
7,20170817,1
7,20170818,1
7,20170821,1
7,20170822,1
7,20170823,1
7,20170824,1
7,20170825,1
7,20170828,1
7,20170829,1
7,20170830,1
7,20170831,1
7,20170901,1
8,20170905,1
8,20170906,1
8,20170907,1
8,20170908,1
8,20170911,1
8,20170912,1
8,20170913,1
8,20170914,1
8,20170915,1
8,20170918,1
8,20170919,1
8,20170920,1
8,20170921,1
8,20170922,1
8,20170925,1
8,20170926,1
8,20170927,1
8,20170928,1
8,20170929,1
8,20171002,1
8,20171003,1
8,20171004,1
8,20171005,1
8,20171006,1
8,20171009,1
8,20171010,1
8,20171011,1
8,20171012,1
8,20171013,1
8,20171016,1
8,20171017,1
8,20171018,1
8,20171019,1
8,20171020,1
8,20171023,1
8,20171024,1
8,20171025,1
8,20171026,1
8,20171027,1
8,20171030,1
8,20171031,1
8,20171101,1
8,20171102,1
8,20171103,1
8,20171106,1
8,20171107,1
8,20171108,1
8,20171109,1
8,20171110,1
8,20171113,1
8,20171114,1
8,20171115,1
8,20171116,1
8,20171117,1
9,20170817,1
